"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Brood Year YYYY","First Obs Date Max","Last Obs Date Min"
"3DD.003D39D652","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/23/2022","07/25/2022"
"3DD.003D39E800","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/22/2022","07/24/2022"
"3DD.003D440F2A","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/21/2022","07/24/2022"
"3DD.003D3A0542","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/20/2022","07/24/2022"
"3DD.003D39D5D6","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/18/2022","07/25/2022"
"3DD.003D39ECAB","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/18/2022","07/25/2022"
"3DD.003D39F63F","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/17/2022","07/18/2022"
"3DD.003C06845B","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/16/2022","07/17/2022"
"3DD.003D39F200","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/16/2022","07/17/2022"
"3DD.003D39F3A6","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/15/2022","07/17/2022"
"3DD.003DA078E8","BON","4/13/2022","1","Chinook","1","Spring","H","Hatchery Reared","2020","07/15/2022","07/31/2022"
"3DD.003D39E00D","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/14/2022","07/17/2022"
"3DD.003D39E8C7","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/14/2022","07/18/2022"
"3DD.003D39E93A","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/14/2022","07/14/2022"
"3DD.003D39E93A","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/12/2022","07/12/2022"
"3DD.0077C8DA14","LNF - Leavenworth NFH Adult Ladder","4/19/2019","1","Chinook","1","Spring","H","Hatchery Reared","2017","07/12/2022","07/14/2022"
"3DD.003D39E254","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","07/11/2022","07/14/2022"
